label-coarse,text
OTHERS,What year did Rossetti paint `` Beata Beatrix '' ?
OTHERS,How long did the Charles Manson murder trial last ?
3,What athlete makes the most money from sports merchandise sales ?
0,What do I need to learn to design web pages ?
3,Who made a boat out of gopher wood ?
0,What is the history of the hairdryer ?
0,What is Remembrance Day all about ?
3,What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?
5,What is website of the International Court of Justice ?
0,Where did the term fireplug come from ?
0,What is God ?
0,How was the Kennedy money made ?
3,Who is the mathematician that won the Noble Prize for Literature in 1950 ?
OTHERS,What is the exchange rate between England and the U.S. ?
OTHERS,What animals acted as lapwarmers for American colonists in church ?
0,What is an auto-commentary ?
3,What is the name of Miss India 1994 ?
0,How has TV affected our society ?
3,Who was the king who was forced to agree to the Magna Carta ?
0,What is diabetes ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
OTHERS,When did Jaco Pastorius die ?
5,What bay divides Maryland 's Eastern and Western Shores ?
3,Who was chief engineer of the Starship Enterprise ?
0,What is a biologist ?
2,What does snafu stand for ?
5,Where can I get a complete listing of showtimes in my area ?
3,"Whose funeral train traveled from Washington D.C. to Springfield , Illinois ?"
3,Who was the first woman governor of Wyoming ?
OTHERS,"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,"
OTHERS,"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?"
5,What is the location of McCarren Airport ?
3,What fruit-topped actress was known as The Brazilian Bombshell ?
0,What is the nature of snow and how is the formation of snow different from that of ice ?
0,Why should cigarette smoking be banned ?
5,What natural attractions draw the most visitors in the United States ?
OTHERS,What color are seven of every 10 houses in the U.S. ?
3,Name the various super-teams to which the Angel has belonged .
2,What does SHIELD stand for ?
0,What does idle mean ?
OTHERS,What month 's third weekend is the Monterey Jazz Festival held on ?
0,What will the weather be today ?
5,In what area of the world was the Six Day War fought ?
0,How is water treated to make it safe to drink ?
3,Who invented basketball ?
OTHERS,What operating system do IBM-compatible machines use ?
5,Where are the tropical rain forest distributions ?
OTHERS,How many dots make up the symbol for `` because '' ?
5,Where can I find a review of Nightmare on Elm Street in a film journal ?
5,What city is often called The Insurance Capital of the World ?
3,What Louisiana Senator won a seat that had been held by his father and mother ?
OTHERS,How often are brain cells replaced ?
OTHERS,What are all the different types of pizza ?
0,What did Delilah do to Samson 's hair ?
3,Whom did the Chicago Bulls beat in the 1993 championship ?
3,"Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?"
OTHERS,How many home runs did Babe Ruth hit in his lifetime ?
OTHERS,How many people died on South Carolina highways in 1998 ?
0,What is the `` fourth dimension '' ?
5,What river runs through Liverpool ?
0,What is pasta ?
OTHERS,Name the two mystical ravens Odin has at his command .
3,What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?
3,What is Rona Barrett 's married name ?
OTHERS,What did the pyramid-builders of Egypt mainly eat ?
0,How did Peabody and Sherman travel through time ?
OTHERS,What does the technique called `` cold fusion '' produce ?
OTHERS,What TV station did Mary Richards work for ?
OTHERS,How many pounds are there in a stone ?
3,What President became Chief Justice after his presidency ?
3,Who wrote The Ugly Duckling ?
OTHERS,What is a word whose letters can be rearranged to form a different word ?
OTHERS,What 's the green variety of beryl called ?
0,What is the highest Roman numeral ?
3,Who was the 16th President of the United States ?
5,Where is your corpus callosum ?
5,What city or state do the most gay men live in ?
3,What dumb-but-loveable character did Maurice Gosfield play on The Phil Silvers Show ?
OTHERS,When was cigarette advertising banned on television and radio ?
0,What is idealab ! ?
5,What U.S. state has the most blondes ?
5,What country did the Mau Mau Uprising take place in ?
OTHERS,What astronomical phenomenon takes place in Jan. 1999 ?
5,What are tourist attractions in Reims ?
5,"What prison is found in Ossining , New York ?"
0,How can you define time ?
5,Where are the Haversian canals ?
OTHERS,What type of exercise burns the most calories ?
5,Where is the Statistical Abstract of the United States online ?
OTHERS,The film `` Jaws '' was made in what year ?
5,What island was the target of the U.S. 's Operation Urgent Fury ?
3,"Who says , `` If you don 't look good , we don 't look good '' ?"
0,How can you prevent it ?
3,What monarch signed the Magna Carta ?
3,What U.S. university boasts the largest library ?
OTHERS,How far out is the universe ?
3,What Honeymooners actress did Television magazine name as 1953 's most promising star ?
3,Who was the first American in space ?
0,What are you hearing when you put a seashell to your ear ?
3,"What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?"
OTHERS,What film opens with an assassin tumbling from the Seattle Space Needle ?
3,What terrorist group was headed by Donald DeFreeze ?
3,Who is the current prime minister and president of Russia ?
OTHERS,What kind of books does Fodor 's publish ?
OTHERS,How many bones are there in the human hand ?
3,Who is the monarch of the United Kingdom ?
OTHERS,What do humans catch zoonose diseases from ?
0,What is hypnotherapy ?
OTHERS,What is the term for a group of geese ?
0,How does a chick breathe inside an egg ?
3,Which major diamond producer is based in South Africa ?
3,Which company created the Internet browser Mosaic ?
5,Where is Basque country located ?
3,Which of the following people is not associated with Andy Warhol ?
0,What is the origin of the peace symbol ?
OTHERS,"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?"
OTHERS,What is a fear of sourness ?
3,Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?
OTHERS,When was Richard Nixon born ?
3,Who is the fastest swimmer in the world ?
5,What is the capital of Kosovo ?
0,How can you become an FBI agent ?
0,What is a Certified Nurse Midwife ?
5,What city boasts the Billingsgate fishmarket ?
5,What U.S. state records the least rainfall ?
3,What Mexican leader was shot dead in 1923 ?
2,What does the `` c '' stand for in the equation E=mc2 ?
0,Why does it say on children 's cough syrup not to drive while using this medication ?
0,How do you do a bibliography with an unknown author ?
OTHERS,What is the most efficient way to start a barbeque ?
0,How is bubble wrap made ?
OTHERS,How many Stradivarius violins were ever made ?
OTHERS,What stringed weapon fires a bolt ?
3,What was Eduard Shevardnadze 's job in the Soviet Union ?
OTHERS,What is a fear of points ?
0,How do you use `` farther '' as opposed to `` further '' ?
0,What are differences between 1980 and 1990 ?
3,Who is the prophet that is most connected to the Dead Sea ?
5,What country was Kim Philby really working for ?
3,Who invented volleyball ?
5,What London museum features a Chamber of Horrors ?
OTHERS,What kind of file has the extension .dbf ?
OTHERS,What is your favorite color ?
0,Why did several San Diego schools remove apples from students menus ?
3,Who was the author of the novel `` Far From the Madding Crowd '' ?
5,What city is found in the city of OZ ?
OTHERS,Winnie the Pooh is what kind of animal ?
3,"Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage ."
OTHERS,What organic fuel do bog-dwellers use a `` slane '' to cut ?
5,What body of water does the Yukon River empty into ?
3,Who is the worst US President ever ?
0,How do you stop junk snail mail ?
3,What government department did The Untouchables work for ?
OTHERS,What kind of fruit is a Yellow Transparent ?
OTHERS,How many colonies did Germany get to keep after World War I ?
OTHERS,What is a fear of stings ?
3,What was the business of the animated Sky Hawks ?
5,What famed strip of land is a 15-minute boat trip across the Venetian Lagoon from Venice ?
5,Where in the United States do people live the longest ?
OTHERS,When did Muhammad live ?
OTHERS,How deep is a fathom ?
5,What state produces the best lobster to eat ?
3,Who held the endurance record for women pilots in 1929 ?
OTHERS,What is November 's birthstone ?
OTHERS,Where does the U.S. rank among world countries in area ?
3,Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?
5,What is the web address of the list of e-mail addresses of members of the House of Representatives ?
0,What is `` flintknapping '' ?
5,Where can I get information about cystic fibrosis ?
3,Who wrote NN DT NNP NNP '' ?
OTHERS,What are you caught in if a haboob blows up ?
0,What made the Finger Lakes in western New York state ?
OTHERS,Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?
OTHERS,When was Christ born ?
OTHERS,What is `` the bear of beers '' ?
OTHERS,How many seats does the Batmobile sport ?
OTHERS,How much do drugs to treat tuberculosis cost ?
5,What island is home to statues called Mauis ?
5,What Caribbean island is northeast of Trinidad ?
0,What is a wet dream ?
0,What is pandoro ?
3,Who invented the Wonderbra ?
0,Why does a woman have to be a virgin to be a nun ?
3,"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?"
5,What was the first country to put a second woman in space ?
5,What state is known as the Hawkeye State ?
2,What does IOC stand for ?
OTHERS,What are the languages spoken by the natives in Afghanistan ?
OTHERS,What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?
OTHERS,"What incident of 1933 did the German Nazis use to justify emergency decrees , imprisoning opponents and vesting more power in themselves ?"
0,What was the rallying cry of the early American revolutionaries ?
0,What are liver enzymes ?
OTHERS,In what year did China and the Republic of Korea establish diplomatic relations ?
3,Who created the character James Bond ?
3,Who received the Will Rogers Award in 1989 ?
0,What is lung cancer ?
OTHERS,What are the 28 tenses in the English language ?
OTHERS,What cancer is commonly associated with AIDS ?
OTHERS,What 's been the ruin of many a poor boy in New Orleans ?
OTHERS,What Italian liner was hijacked in 1985 ?
OTHERS,What types of water pollution are there ?
OTHERS,What time of year is air travel the heaviest ?
OTHERS,What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?
3,Who 's the only president buried in Washington
3,What female painter produced primitives of rural New England life ?
3,"What actor , who had greatest fame on TV , became the father of triplets ?"
OTHERS,What commodity 's shortage was the largest single factor in keeping North American cars off the roads during World War II ?
OTHERS,What was the tragedy that struck the city of Dogtown in 1899 ?
OTHERS,When did they canonize the Bible ?
3,Who won the Battle of Gettysburg ?
OTHERS,Mississippi is nicknamed what ?
OTHERS,What is the best way to travel in Japan ?
0,What is a First World country ?
0,"What are Kythnos , Siphnos , Seriphos and Mykonos ?"
3,What woman pitcher has struck out Ted Williams and Hank Aaron ?
2,What does IBM stand for ?
5,"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?"
OTHERS,What date is Boxing Day ?
0,What is the largest variety of cactus ?
0,What should you do for an ankle sprain ?
OTHERS,When was Yemen reunified ?
0,Why are ice cream sundaes called sundaes ?
3,"What poet wrote : `` ... I have promises to keep , and miles to go before I sleep '' ?"
3,Who made Stonehenge ?
3,Who leads the star ship Enterprise in Star Trek ?
OTHERS,In what year was the movie the Ten Commandments released ?
5,What square is the geographical center of London ?
OTHERS,What Caribbean cult did Marcus Garvey originate ?
OTHERS,How many people watch network television ?
0,What exactly is the purpose of the anteater ?
OTHERS,Aspartame is known by what other name ?
3,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?
OTHERS,What Morris West novel deals with Russian bishop who becomes Pope ?
OTHERS,What novel did Ian Fleming introduce James Bond in ?
OTHERS,What cooking oil has `` corn goodness '' ?
0,What is the Order of the Arrow in Boy Scouts ?
3,Who was the first person inducted into the U.S. Swimming Hall of Fame ?
3,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
0,How do you dunk ?
OTHERS,How many Grammys did Michael Jackson win in 1983 ?
5,What European country is home to the beer-producing city of Budweis ?
OTHERS,Which medium is Hamblen the first singing cowboy in ?
5,Where on the Internet can I find information on laundry detergent ?
0,"What was Al Capone finally imprisoned for , in 1931 ?"
0,What is the cultural origin of the ceremony of potlatch ?
5,What room did W.C. Fields keep his library in ?
OTHERS,What was Dwight Eisenhower 's favorite card game ?
3,What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?
OTHERS,What is the fastest computer ?
OTHERS,When was the slinky invented ?
3,Who was the king who signed the Magna Carta ?
3,Who was the first person to study the stars ?
5,What was the birthplace of Edgar Allen Poe ?
5,Where does tuberculosis come from ?
5,Where does the song Anything Goes take place ?
OTHERS,How many bytes are in a terabyte ?
3,Who is Imam Hussain Ben Ali whom Shia people believe in ?
5,Where is the Henry Ford Museum ?
3,What did the Seven Dwarfs do for a living ?
OTHERS,What five cards make up a perfect Cribbage hand ?
5,What city has a newspaper called The Plain Dealer ?
0,What is literary criticism ?
0,What does the word affiant mean ?
0,What is `` Nine Inch Nails '' ?
OTHERS,What other name were the `` Little Rascals '' known as ?
OTHERS,What is Jell-O made from ?
0,What should you yell to hail a taxi in Madrid ?
5,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?"
3,What two US biochemists won the Nobel Prize in medicine in 1992 ?
3,Name the child left on a doorstep at the beginning of Gasoline Alley .
3,What is Nathan Hamill 's role in the new Star Wars prequel ?
OTHERS,What is average salary of restaurant manager in United States ?
3,Who was William Henry Harrison ?
3,What was the name of the US helicopter pilot shot down over North Korea ?
0,What does storm wave mean in Japanese ?
OTHERS,What trophy is awarded to the winners of the Super Bowl ?
OTHERS,How many airline schools are there in the U.S. ?
0,What is meant by blood SED rate ?
5,"Where can one find information on religion and health , the brain and nutrition ?"
3,What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
OTHERS,How fast does the fastest car go ?
0,Define the Pheonix Club ?
OTHERS,How many species of the Great White shark are there ?
3,Who is considered The First Lady of the American Stage ?
5,What planet did Percival Lovell discover ?
0,How do you identify prime numbers ?
5,What river runs through Liverpool ?
3,What culture developed the idea of potlatch ?
3,Who shot and killed himself while painting Wheatfield with Crows ?
OTHERS,How many times does the tide ebb and flow each day ?
0,What is the medical condition of hypertension ?
3,Who was the lawyer for Randy Craft ?
3,Who said : `` Soldiers win the battles and generals get the credit '' ?
OTHERS,How many times larger than life size is the Statue of Liberty ?
3,What 's the name of Pittsburgh 's baseball team ?
0,Why is the mile 528 feet ?
0,What features of the African elephant are larger than those of the Indian elephant ?
3,Which of the following actors worked in New York 's Yiddish Theater ?
OTHERS,How old was Gene Siskel ?
3,Who fired Maria Ybarra from her position in San Diego council ?
OTHERS,What is the name given to a group of geese ?
0,What will a compass do in outer space ?
OTHERS,What do Englishmen weigh themselves in ?
OTHERS,What is another name for nearsightedness ?
5,Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?
0,How do I know if I 'm jealous of someone ?
5,"Where can I find a tape or book to help me say , write and understand Japanese ?"
2,What does NN O `` mean when used as a prefix in Irish surnames ?
0,What is a meerkat ?
3,Who killed Kurt Cobain ?
OTHERS,What is Ray Bradbury 's illustrated man illustrated with ?
OTHERS,How far can a man travel in outer space ?
3,Who played the original Charlie 's Angels ?
OTHERS,What does an average daycare provider get paid in New England ?
0,What is swap math ?
0,What does verdandi mean ?
0,What were the three prophecies the witches make to Macbeth ?
5,What city would you be in if you were feeding the pigeons in the Piazza San Marco ?
OTHERS,What is Chiricahua the name of ?
0,How do I sing like Elvis Presley ?
5,Where is Rider College ?
0,"What is Black Hills , South Dakota most famous for ?"
5,"What is the location of Edinburgh , Scotland ?"
5,Where is Natick ?
5,Where is the Orinoco ?
5,What nationality was Jackson Pollock ?
OTHERS,How many teaspoons make up a tablespoon ?
0,What does the Latin ante mortem mean ?
OTHERS,How long does it take the moon to revolve around the Earth ?
OTHERS,What is the greatest source of `` white '' magic in the Marvel Universe ?
OTHERS,How many elephants are left on earth ?
0,What is the definition of hazmat ?
3,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
OTHERS,What did Louis Cartier invent for aviator Santos Dumont in 1940 ?
OTHERS,How many characters are in the Chinese alphabet ?
OTHERS,What document did President Andrew Johnson want a copy of placed under his head upon his burial ?
OTHERS,What product did Robert Conrad dare people to knock off his shoulder ?
0,What is the meaning of the name Kathryn ?
5,What is Drew Barrymore 's email address ?
OTHERS,How much money can a person be fined for having a dog on a beach ?
5,What is the name of the gulf between Sweden and Finland ?
OTHERS,How many Beatles ' records went #1 ?
3,What U.S. Government agency registers trademarks ?
OTHERS,What plant has the largest seed ?
OTHERS,What is the probability that at least 2 out of 25 people will have the same birthday ?
3,Who created Big Ben ?
OTHERS,"What day is August 13 , 1971 ?"
OTHERS,What is the starting salary of a radiographer ?
3,Who won the 1967 Academy Award for Best Actor ?
5,What is the name of the planet that the Ewoks live on ?
5,What is the name of the planet that the Ewoks live on ?
OTHERS,When was the Berlin Wall erected ?
OTHERS,Name one of the Seven Wonders of the Ancient World .
OTHERS,"What molecules include fluorine , sodium and magnesium ?"
5,"Where was the Cisalpine Republic , 1797-185 , ?"
0,How do I find out what cities are in a certain area code ?
OTHERS,What ocean liner burned and sank in Hong Kong harbor ?
5,Where can I find a case on Americans with Disabilities Act of 199 ?
OTHERS,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
OTHERS,What is the largest snake in the world ?
5,What building appropriately enough is depicted on the back of the 1-dollar bill ?
OTHERS,What does an average daycare provider get paid in New England ?
OTHERS,What Hermann Hesse book gave its name to a rock group ?
0,What is carpal tunnel syndrome ?
3,What character in The Beverly Hillbillies has the given names Daisy Moses ?
5,What United States city produces the most oil ?
5,What is a reliable site that I can download Heretic 2 ?
OTHERS,What is the population of Ohio ?
OTHERS,What are the chemicals used in glowsticks ?
OTHERS,What does Visine get out ?
0,What is the origin of the proverb `` A stitch in time saves nine '' ?
0,What is Bombay duck ?
0,Why are the rooftops in Canada green ?
OTHERS,Name a tiger that is extinct .
3,What English queen had seventeen children ?
OTHERS,What instrument does Benny Carter play ?
0,What is a hydrogen bond ?
0,What is a dangling participle ?
5,Where did Wile E. Coyote always get his devices ?
5,"What country has the most time zones , with 11 ?"
OTHERS,What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?
OTHERS,What 's the name of the Tokyo Stock Exchange ?
3,Who is the prime minister of Japan ?
0,What is ouzo ?
2,What 's the abbreviation for limited partnership ?
5,Where is the Loop ?
5,What is the name of the planet that the Ewoks live on ?
OTHERS,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
OTHERS,How tall is the Matterhorn ?
0,How can I easily remove red wine stains from t-shirts ?
OTHERS,What was the name of Robert Fulton 's most famous steamboat ?
0,How do you tell somebody you like them ?
0,What is a serigraph ?
OTHERS,What is state tree of Nebraska ?
0,What baseball expression came from the nautical term for ships sailing between the Atlantic and Pacific before the Panama Canal ?
0,Where do rocks come from ?
OTHERS,What number of American soldiers remain unaccounted from the Vietnam war ?
5,What is the deepest area of the Arctic Ocean ?
0,What is the historical relationship of Catholic Church and bingo ?
OTHERS,What is a fear of slime ?
OTHERS,Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?
OTHERS,What album put The Beatles on the cover of Time in 1967 ?
OTHERS,In what ways did Ivan IV support Russian expansion ?
5,What is the largest office block in the world ?
3,Who played the father on `` Charles in Charge '' ?
OTHERS,What year was the Avery Dennison company founded ?
OTHERS,What year did Jack Nicklaus join the Professional Golfers Association tour ?
5,Where must a soccer goalie stand to be permitted to handle the ball ?
3,What is a person called that likes fire ?
0,How does marl form and what mineral does it contain ?
OTHERS,What is a fear of everything ?
OTHERS,What 's the American dollar equivalent for 8 pounds in the U.K. ?
0,How did the U.S. come into the possession of an empire in the wake of the Spanish-American War ?
OTHERS,When does menstruation begin ?
3,What was American folk hero John Chapman 's nickname ?
OTHERS,When did World War I start ?
OTHERS,Which Kevin Costner movie involves the Sioux Indians ?
OTHERS,What is the only primate to lack pigment in the palms of its hands ?
0,What is the definition of cecum ?
OTHERS,In what year did the Bounty mutiny happen ?
3,Who wrote The Secret Life of Walter Mitty ?
OTHERS,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
3,Which police department made the all-time biggest cocaine bust in Ventura County ?
3,Who wrote ` The Pines of Rome ' ?
3,What court does Bob Woodward describe in The Brethren ?
5,In what county is Eckley Colorado ?
5,"When Superman needs to get away from it all , where does he go ?"
OTHERS,What was the target rate for M3 growth in 1992 ?
OTHERS,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?"
5,Where can I find information on George Bush ?
3,Who invented Astroturf ?
0,What is Plc ?
OTHERS,What do chefs call The Master Spice ?
0,What is real time processing ?
5,What ocean does Mauritania border ?
3,Who invented the paper clip ?
OTHERS,What is the number of American soldiers deployed to South Korea ?
OTHERS,What is the current ticket fare from from Cairo to Barbados ?
0,How successful is arometherapy ?
3,Who is Henry Butler ?
0,Where did the saying `` rule of thumb '' come from ?
OTHERS,What is money made of ?
3,What Ivy League school plays its home games at Palmer Stadium ?
5,What is the richest state in the U.S. ?
OTHERS,What is the average date when most malls begin putting up Christmas holiday decorations ?
OTHERS,What year did Germany sign its nonaggression pact with the Soviet Union ?
3,Who killed Caesar ?
OTHERS,How many rows of whiskers does a cat have ?
5,What African capital is named for a U.S. president ?
3,What famous British actor lost his voice after an operation in 1966 ?
OTHERS,When was the Brandenburg Gate in Berlin built ?
5,What is the capital of Uruguay ?
OTHERS,How long does it take different materials to decompose ?
5,Where can I get information concerning child custody files for the State of Utah ?
5,Which country is Australia 's largest export market ?
OTHERS,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?
OTHERS,How many people died when the Estonia sank in 1994 ?
3,"What 's the name of the actress who starred in the movie , `` Silence of the Lambs '' ?"
3,Who is the prime minister in Norway ?
5,What is the tallest mountain ?
0,What is the definition of low island ?
0,What is June 's birthstone ?
0,"What is the history of Hot Wheels cars , and how are they produced ?"
OTHERS,What is the weight of a teaspoon of matter in a black hole ?
OTHERS,What year did Hitler die ?
OTHERS,What is the music used in the new VW Beetle commercial where the car spins and changes colors ?
0,How did serfdom develop in and then leave Russia ?
0,What is Margaret Thatcher known for ?
5,Which is the wealthiest country in the world ?
OTHERS,What Don McLean song laments the day Buddy Holly died ?
OTHERS,Name a film in which Jude Law acted .
5,What country are you in if you woo in the Wu dialect ?
3,What was the previous name for the Commonwealth ?
OTHERS,What was the sequel to The Pink Panther ?
OTHERS,How many Community Chest cards are there in Monopoly ?
0,What did John F. Kennedy consider his greatest blunder in office ?
OTHERS,What is the world population as of today ?
2,What is the abbreviation of General Motors ?
0,What are field effect transistors ?
OTHERS,What is the name of the game that Garry Kasparov plays ?
OTHERS,How much iron is in your body ?
3,What baseball team became the Minnesota Twins ?
0,What is limbo ?
OTHERS,What kind of sport is often associated with hooligans ?
OTHERS,What eating utensils are used for handicapped kids ?
OTHERS,How many flavors of ice cream does Howard Johnson 's have ?
0,What is splatterpunk ?
OTHERS,How many years did Sleeping Beauty sleep ?
0,What do bee hives do in cranberry bogs ?
0,What does the donation process entail ?
0,What is the origin of the word assassinate ?
0,How would I find the price of different organs that have been donated ?
5,What South Korean city is served by Kimpo International Airport ?
5,What U.S. state comes last in an alphabetical list ?
0,What are the seven virtues ?
3,What does Robin Williams do ?
OTHERS,How many varieties of apple are there ?
OTHERS,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
OTHERS,What sport features snatches and clean jerks ?
OTHERS,What animals did The Amazing Three masquerade as ?
3,What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?
OTHERS,What 's the most popular four-player game of all time ?
3,Who is the voice of Miss Piggy ?
0,What is moxie ?
0,What 's a `` coup de poing '' to a French boxer ?
3,What kind of organization is ` Last Chance for Animals ' ?
5,What is the geographical center of the US including Alaska and Hawaii ?
0,What happened to Pompeii ?
0,Why is hockey so violent ?
5,What country does Ileana Cotrubas come from ?
0,What will happen when sodium is put in water ?
OTHERS,What was the Bridge of San Luis Rey made of ?
5,Where can I find a `` Fifth Element '' screensaver ?
0,What is a specimen of basidiomycetes ?
0,How do I keep cats out of my flower garden for good ?
OTHERS,When did the original Howdy Doody show go off the air ?
5,Where did the ukulele originate ?
3,What comic of TV 's golden age went by the motto `` Anything for a laugh '' ?
3,Who 's baby was Sweet Pea on the Popeye cartoon ?
5,"What is the address for the main government office in Rome , Italy ?"
OTHERS,What 's the most commonly-spoken language in Belgium ?
5,"What sound does Olympia , Washington , overlook ?"
5,Where are the busiest Amtrak rail stations in the U.S. ?
0,What does N est-ce pas mean ?
OTHERS,What war did Johnny Reb and Billy Yank fight ?
0,Why were red M&Ms discontinued then brought back ?
0,What is hydrogen ?
OTHERS,Which is heavier - cream or milk ?
0,What is InterLata Internet service ?
OTHERS,How many people did Randy Steven Craft murder ?
OTHERS,What disease did August von Wassermann develop a specific test for in 196 ?
OTHERS,How many more weeks of winter are there if a ground hog sees his shadow ?
3,What is Li 'l Abner 's last name ?
OTHERS,How many miles is it from NY to Austria ?
OTHERS,What 's the international radio code word for the letter B ?
OTHERS,What is a fear of weakness ?
0,"How can I find online spelling , and punctuation drills for my 6th grader ?"
0,What does e=mc2 mean ?
3,What police force did Mack Sennett create ?
OTHERS,What season does a hiemal activity normally take place in ?
OTHERS,What five-time winner of the Kentucky Derby lost his first 25 races ?
0,What personality traits are Capricorns said to have ?
OTHERS,What must be exceeded to produce a sonic boom ?
3,"Who was the first elected mayor of Washington , D.C. ?"
OTHERS,What month were you born in if your birthstone is sardonyx ?
3,What President had never held an elected office until he was elected to the White House ?
OTHERS,What was the name of Roy Rogers 's dog ?
OTHERS,"What was the name of the Crimean meeting of Roosevelt , Churchill , and Stalin ?"
OTHERS,What are the unemployment statistics for the years 1965 and 1990 ?
3,Who is Langston Hughes ?
OTHERS,By how much will the California state gas tax rise by the year 2000 ?
OTHERS,What sport do you shag flies in ?
OTHERS,In which Kevin Costner movie did Sioux Indians play a role ?
2,What does U.S.S.R. stand for ?
3,What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?
3,Who is the fastest guitarist ?
OTHERS,How many different countries export coffee ?
OTHERS,How many American actors were nominated for the best actor Oscar for 1983 ?
0,What is a swatch ?
OTHERS,What kind of fish is a coney ?
OTHERS,What is the most expensive car in the world ?
OTHERS,What is the most famous German word in the English language ?
3,What role do fruits play in the survival of plants ?
3,"What basketball player is credited with 23 , 924 rebounds ?"
OTHERS,"Which is the largest clock , diameter wise , in Europe ?"
0,What is the history of Buffalo chicken wings ?
OTHERS,What color tennis balls are used at Wimbledon ?
OTHERS,How many earthworms are in a single pasture ?
OTHERS,When was Beethoven born ?
OTHERS,How long would it take for a $ savings bond to mature ?
OTHERS,"What magazine gives us the cream , not the skim ?"
